id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,parsed_data,dimensions
15498,,,,,,,,,,1901-05-06T00:00:00Z,Fifth Avenue Hotel,,,complete,3,111.0,,
15499,,,,,,,,,,1901-05-07T00:00:00Z,Society Of The Colonial Daughters Of The 17th Century,,,complete,7,13.0,,
15500,,,,,,,,,,1901-05-07T00:00:00Z,U.S. Goverbment(?),,,complete,2,24.0,,
15501,,,,,,,,,,1901-01-01T00:00:00Z,Childs' Lunch Room,Dollars,$,complete,2,64.0,,
15503,,,,,,,,,,1901-05-20T00:00:00Z,Society Of Colonial Wars In The State Of New Jersey,,,complete,6,28.0,,
15504,,,,,,,,,,1901-05-20T00:00:00Z,Westminister Hotel,,,complete,2,69.0,,
15505,,,,,,,,,,1901-05-20T00:00:00Z,Westminister Hotel,,,complete,2,54.0,,
15506,,,,,,,,,,1901-05-20T00:00:00Z,Westminister Hotel,,,complete,2,55.0,,
15507,,,,,,,,,,1901-05-20T00:00:00Z,Bailey Catering Co.,Dollars,$,complete,2,170.0,,
15508,,,,,,,,,,1901-05-20T00:00:00Z,Rector's,Dollars,$,complete,4,180.0,,
15511,,,,,,,,,,1901-05-21T00:00:00Z,Pullman Dining Car Service The President,,,complete,2,27.0,,
15512,,,,,,,,,,1901-05-21T00:00:00Z,Pullman Dining Car Serfvice The President,,,complete,2,27.0,,
15513,,,,,,,,,,1901-05-21T00:00:00Z,Pullman Dining Car Service The President,,,complete,2,24.0,,
15514,,,,,,,,,,1901-05-21T00:00:00Z,Westminister Hotel,,,complete,2,51.0,,
15515,,,,,,,,,,1901-05-21T00:00:00Z,Westminister Hotel,,,complete,2,54.0,,
15516,,,,,,,,,,1901-05-21T00:00:00Z,Oceanic Steamship Company Ventura,,,complete,2,41.0,,
15517,,,,,,,,,,1901-05-21T00:00:00Z,Oceanic Steamship Company Ventura,,,complete,4,26.0,,
15518,,,,,,,,,,1901-05-22T00:00:00Z,N.C. At Squantum,,,complete,4,57.0,,
15519,,,,,,,,,,1901-05-22T00:00:00Z,Geyer's Dairy Restaurant,Dollars,$,complete,8,205.0,,
15520,,,,,,,,,,1901-05-22T00:00:00Z,Oceanic Steamship Company,,,complete,2,24.0,,
15521,,,,,,,,,,1901-05-22T00:00:00Z,Oceanic Steamship Company,,,complete,2,31.0,,
15522,,,,,,,,,,1901-05-22T00:00:00Z,Oceanic Steamship Company,,,complete,2,27.0,,
15523,,,,,,,,,,1900-11-25T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,15.0,,
15524,,,,,,,,,,1900-11-25T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,18.0,,
15525,,,,,,,,,,1900-01-01T00:00:00Z,Raymond & Whitcombis Tours,,,complete,2,28.0,,
15526,,,,,,,,,,1900-01-01T00:00:00Z,Raymond & Whitcombis Tours,,,complete,2,19.0,,
15527,,,,,,,,,,1900-01-01T00:00:00Z,Raymond & Whitcombis Tours,,,complete,2,13.0,,
15528,,,,,,,,,,1900-01-01T00:00:00Z,Southern Pacific Company,Dollars,$,complete,2,49.0,,
15530,,,,,,,,,,1900-11-25T00:00:00Z,"New Hotel Berkeley,the",,,complete,8,39.0,,
15536,,,,,,,,,,1900-11-29T00:00:00Z,Planters Hotel,,,complete,8,41.0,,
15537,,,,,,,,,,1900-11-29T00:00:00Z,Hotel Manhattan,Dollars,$,complete,2,125.0,,
15538,,,,,,,,,,1900-11-29T00:00:00Z,Hotel Manhattan,Dollars,$,complete,2,181.0,,
15539,,,,,,,,,,1901-04-26T00:00:00Z,A.M. Sweet & Son Hotel & Restaurant,Dollars,$,complete,4,318.0,,
15540,,,,,,,,,,1901-04-26T00:00:00Z,Astor House,Dollars,$,complete,4,402.0,,
15541,,,,,,,,,,1901-04-26T00:00:00Z,Astor House,Dollars,$,complete,4,548.0,,
15542,,,,,,,,,,1901-04-26T00:00:00Z,Cosmopolitan Hotel,Dollars,$,complete,4,486.0,,
15543,,,,,,,,,,1901-04-26T00:00:00Z,Herald Square Hotel,Dollars,$,complete,2,236.0,,
15544,,,,,,,,,,1901-05-08T00:00:00Z,Cigar Leaf Tobacco Board Of Trade Of The United States,,,complete,2,27.0,,
15545,,,,,,,,,,1901-05-08T00:00:00Z,Cigar Leaf Tobacco Board Of Trade Of The United States,,,complete,2,27.0,,
15546,,,,,,,,,,1901-05-08T00:00:00Z,Macy's,,,complete,2,11.0,,
15547,,,,,,,,,,1901-05-08T00:00:00Z,Sphinx Club,,,complete,2,13.0,,
15548,,,,,,,,,,1901-05-08T00:00:00Z,U.S.M.S St. Paul,Dollars,$,complete,2,100.0,,
15549,,,,,,,,,,1901-05-08T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,24.0,,
15550,,,,,,,,,,1900-06-01T00:00:00Z,Chesapeake Steamship Co.,,,complete,2,54.0,,
15551,,,,,,,,,,1900-06-29T00:00:00Z,Hotel St. Andrew,Dollars,$,complete,2,157.0,,
15552,,,,,,,,,,1900-06-30T00:00:00Z,Imperial Hotel Limited,,,complete,2,11.0,,
15553,,,,,,,,,,1900-06-30T00:00:00Z,Imperial Hotel Limited,,,complete,2,12.0,,
15554,,,,,,,,,,1900-06-30T00:00:00Z,New State House,,,complete,2,30.0,,
15555,,,,,,,,,,1900-06-30T00:00:00Z,Penna. Soc'y. War Of 1812,,,complete,2,18.0,,
15556,,,,,,,,,,1900-07-01T00:00:00Z,Hotel Victory,,,complete,4,49.0,,
15557,,,,,,,,,,1901-05-23T00:00:00Z,American Inn,Dollars,$,complete,4,110.0,,
15559,,,,,,,,,,1901-05-24T00:00:00Z,Oceanic Steamship Company,,,complete,4,29.0,,
15560,,,,,,,,,,1901-05-24T00:00:00Z,Luchow's Pan American Restauant Co.,Dollars,$,complete,4,273.0,,
15561,,,,,,,,,,1900-08-07T00:00:00Z,White Star Line,,,complete,2,17.0,,
15562,,,,,,,,,,1900-08-04T00:00:00Z,Hotel Victory,,,complete,2,47.0,,
15563,,,,,,,,,,1900-08-08T00:00:00Z,Hotel Victory,,,complete,2,44.0,,
15564,,,,,,,,,,1900-08-08T00:00:00Z,Hotel Victory,,,complete,2,38.0,,
15565,,,,,,,,,,1900-08-10T00:00:00Z,West Coast Dining Saloon,,,complete,2,13.0,,
15566,,,,,,,,,,1900-08-11T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,13.0,,
15567,,,,,,,,,,1901-06-10T00:00:00Z,Cotton Belt Railroad Route,Dollars,$,complete,8,61.0,,
15568,,,,,,,,,,1901-06-10T00:00:00Z,I.R.Benjamin,,,complete,4,26.0,,
15569,,,,,,,,,,1901-06-10T00:00:00Z,Oceanic Steamship Co. Sierra,,,complete,2,21.0,,
15570,,,,,,,,,,1901-06-10T00:00:00Z,Oceanic Steamship Co. Sierra,,,complete,2,33.0,,
15571,,,,,,,,,,1901-06-11T00:00:00Z,King Edward Vll,,,complete,6,12.0,,
15573,,,,,,,,,,1901-04-26T00:00:00Z,Harlow & Kuchlin Restaurant Oyster & Chop House,Dollars,$,complete,4,485.0,,
15574,,,,,,,,,,1901-04-26T00:00:00Z,Arnold's Restaurant & Dairy,Dollars,$,complete,4,330.0,,
15575,,,,,,,,,,1901-04-26T00:00:00Z,Rogers'restaurant,,,complete,2,13.0,,
15576,,,,,,,,,,1901-04-26T00:00:00Z,Rogers' Chop House And Restaurant,Dollars,$,complete,4,317.0,,
15577,,,,,,,,,,1901-04-26T00:00:00Z,E.B. Orcutt Restaurant And Cafe,Dollars,$,complete,4,282.0,,
15578,,,,,,,,,,1901-04-26T00:00:00Z,Proctor's Cafe,Dollars,$,complete,2,388.0,,
15579,,,,,,,,,,1901-04-26T00:00:00Z,Proctor's Cafe,Dollars,$,complete,2,375.0,,
15580,,,,,,,,,,1901-04-26T00:00:00Z,New York Press Club,Dollars,$,complete,4,312.0,,
15582,,,,,,,,,,1901-04-26T00:00:00Z,Herald Square Hotel,Dollars,$,complete,2,139.0,,
15583,,,,,,,,,,1901-04-26T00:00:00Z,Mouquin Restaurant,Dollars,$,complete,4,600.0,,
15584,,,,,,,,,,1900-05-24T00:00:00Z,Windsor Hotel,,,complete,4,21.0,,
15585,,,,,,,,,,1900-05-24T00:00:00Z,Mangler's,Dollars,$,complete,2,156.0,,
15586,,,,,,,,,,1900-05-24T00:00:00Z,S.A. Chamber Of Manufacturers (inc.),,,complete,4,49.0,,
15587,,,,,,,,,,1900-05-24T00:00:00Z,Pure Food Cafe,Dollars,$,complete,2,83.0,,
15588,,,,,,,,,,1900-05-24T00:00:00Z,Pure Food Cafes Annex No. 1,Dollars,$,complete,2,28.0,,
15589,,,,,,,,,,1900-05-01T00:00:00Z,English Hotel Restaurant,Dollars,$,complete,4,134.0,,
15590,,,,,,,,,,1900-05-01T00:00:00Z,Chicago Great Western Railway,Dollars,$,complete,4,61.0,,
15591,,,,,,,,,,1900-05-25T00:00:00Z,Pacific Mail Steamship Co.,Dollars,$,complete,4,26.0,,
15592,,,,,,,,,,1900-05-25T00:00:00Z,Pacific Mail Steamship Co.,,,complete,4,16.0,,
15593,,,,,,,,,,1900-05-25T00:00:00Z,York Hotel,,,complete,2,20.0,,
15594,,,,,,,,,,1900-05-25T00:00:00Z,Los Angeles Consistory No.3,,,complete,2,18.0,,
15595,,,,,,,,,,1900-05-25T00:00:00Z,Masonic Temple Restaurant,,,complete,2,19.0,,
15596,,,,,,,,,,1900-05-26T00:00:00Z,Grand Trunk Railway System,Dollars,$,complete,2,39.0,,
15597,,,,,,,,,,1900-05-26T00:00:00Z,Marshall A.Newell,,,complete,2,21.0,,
15598,,,,,,,,,,1900-05-26T00:00:00Z,English Hotel Restaurant,,,complete,2,10.0,,
15599,,,,,,,,,,1900-05-26T00:00:00Z,Pacific Mail Steamship Company,,,complete,4,28.0,,
15600,,,,,,,,,,1900-05-26T00:00:00Z,Pacific Mail Steamship Company,,,complete,2,17.0,,
15601,,,,,,,,,,1900-05-26T00:00:00Z,Pacific Mail Steamship Company,,,complete,2,20.0,,
15602,,,,,,,,,,1900-05-01T00:00:00Z,D&h Dining Car Service,Dollars,$,complete,2,64.0,,
15603,,,,,,,,,,1900-05-01T00:00:00Z,Southern Railway,,,complete,2,39.0,,
15604,,,,,,,,,,1900-05-01T00:00:00Z,Southern Railway,,,complete,2,30.0,,
15605,,,,,,,,,,1900-07-01T00:00:00Z,Hamilton Club Of Chicago,Dollars,$,complete,4,158.0,,
15606,,,,,,,,,,1900-07-03T00:00:00Z,Alta Vista Hotel,,,complete,2,35.0,,
15607,,,,,,,,,,1900-01-01T00:00:00Z,Northern Steamship Company,Dollars,$,complete,4,93.0,,
15608,,,,,,,,,,1900-04-01T00:00:00Z,Consulate Of The United States Of America,,,complete,2,12.0,,
15609,,,,,,,,,,1900-07-04T00:00:00Z,New Rockingham,,,complete,8,70.0,,
15611,,,,,,,,,,1900-07-04T00:00:00Z,Hotel Colorado,,,complete,4,40.0,,
15612,,,,,,,,,,1900-07-04T00:00:00Z,Alta Vista Hotel,,,complete,2,32.0,,
15613,,,,,,,,,,1900-07-04T00:00:00Z,Alta Vista Hotel,,,complete,2,30.0,,
15614,,,,,,,,,,1900-07-04T00:00:00Z,Alta Vista Hotel,,,complete,4,37.0,,
15617,,,,,,,,,,1900-10-07T00:00:00Z,Grandon Hotel,,,complete,4,36.0,,
15618,,,,,,,,,,1900-10-07T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,23.0,,
15619,,,,,,,,,,1900-10-07T00:00:00Z,Chicago Beach Hotel,,,complete,4,31.0,,
15621,,,,,,,,,,1900-10-08T00:00:00Z,Grandon Hotel,,,complete,2,36.0,,
15622,,,,,,,,,,1900-10-08T00:00:00Z,Delmonicos,,,complete,2,20.0,,
15623,,,,,,,,,,1900-10-08T00:00:00Z,Palace Hotel Restaurant,Dollars,$,complete,2,406.0,,
15624,,,,,,,,,,1900-10-08T00:00:00Z,Grand Hotel,Dollars,$,complete,4,147.0,,
15625,,,,,,,,,,1900-08-11T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,17.0,,
15626,,,,,,,,,,1900-08-11T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,16.0,,
15627,,,,,,,,,,1900-08-11T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,16.0,,
15628,,,,,,,,,,1900-08-12T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,18.0,,
15629,,,,,,,,,,1900-08-12T00:00:00Z,Hotel North,,,complete,2,40.0,,
15630,,,,,,,,,,1900-08-12T00:00:00Z,Congress Hall,,,complete,2,32.0,,
15632,,,,,,,,,,1900-08-15T00:00:00Z,Wisconsin Bankers Association,,,complete,8,25.0,,
15633,,,,,,,,,,1900-10-24T00:00:00Z,Colonial Hotel,,,complete,8,40.0,,
15634,,,,,,,,,,1900-10-24T00:00:00Z,Mills Hotel Restaurant,Dollars,$,complete,2,21.0,,
15635,,,,,,,,,,1901-06-13T00:00:00Z,Citizens Of Altoona,,,complete,12,22.0,,
15637,,,,,,,,,,1900-08-29T00:00:00Z,Hotel Kurhaus,,,complete,40,34.0,,
15638,,,,,,,,,,1900-08-31T00:00:00Z,American Bar Association,,,complete,2,24.0,,
15639,,,,,,,,,,1900-08-31T00:00:00Z,Hotel National,,,complete,2,5.0,,
15641,,,,,,,,,,1900-09-01T00:00:00Z,Southern Pacific Company Dining Car Service,Dollars,$,complete,2,67.0,,
15642,,,,,,,,,,1900-09-01T00:00:00Z,Southern Pacific Company Dining Car Service,Dollars,$,complete,2,67.0,,
15643,,,,,,,,,,1900-09-01T00:00:00Z,Canadian Pacific Railway Co. S.S.Athabasca,,,complete,2,18.0,,
15644,,,,,,,,,,1900-09-01T00:00:00Z,Canadian Pacific Railway Co. S.S.Athabasca,,,complete,2,22.0,,
15645,,,,,,,,,,1900-09-01T00:00:00Z,Canadian Pacific Railway Co. S.S. Alberta,,,complete,2,20.0,,
15646,,,,,,,,,,1900-09-01T00:00:00Z,Canadian Pacific Railway Co. S.S.Alberta,,,complete,2,28.0,,
15647,,,,,,,,,,1900-05-01T00:00:00Z,Southern Railway,,,complete,2,42.0,,
15648,,,,,,,,,,1900-05-01T00:00:00Z,Southern Railway,,,complete,2,30.0,,
15649,,,,,,,,,,1900-05-01T00:00:00Z,Boston Oyster House,Dollars,$,complete,2,137.0,,
15650,,,,,,,,,,1900-05-01T00:00:00Z,Hotel Champlain,Dollars,$,complete,4,69.0,,
15652,,,,,,,,,,1900-01-01T00:00:00Z,Childs' Lunch Rooms,Dollars,$,complete,2,65.0,,
15653,,,,,,,,,,1900-05-27T00:00:00Z,Hotel Metropole,,,complete,2,39.0,,
15654,,,,,,,,,,1900-05-27T00:00:00Z,Hotel Metropole,,,complete,2,34.0,,
15655,,,,,,,,,,1900-05-27T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,67.0,,
15656,,,,,,,,,,1900-05-27T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,4,33.0,,
15657,,,,,,,,,,1900-05-28T00:00:00Z,Norddeutscher Lloyd Bremen Line,,,complete,2,81.0,,
15658,,,,,,,,,,1900-05-28T00:00:00Z,Norddeutscher Lloyd Bremen Line,,,complete,2,62.0,,
15659,,,,,,,,,,1900-05-28T00:00:00Z,Pacific Mail Steamship Company,,,complete,4,19.0,,
15660,,,,,,,,,,1900-05-28T00:00:00Z,Pacific Mail Steamship Company,,,complete,2,16.0,,
15661,,,,,,,,,,1900-05-29T00:00:00Z,Russell House,Dollars,$,complete,2,54.0,,
15663,,,,,,,,,,1900-05-29T00:00:00Z,Colonial Hotel,,,complete,2,45.0,,
15664,,,,,,,,,,1900-05-31T00:00:00Z,Pacific Mail Steamship Company Panama Line,,,complete,4,17.0,,
15665,,,,,,,,,,1900-06-04T00:00:00Z,Commercial Club Of Chicago,Dollars,$,complete,2,30.0,,
15666,,,,,,,,,,1900-06-04T00:00:00Z,Commercial Club Of Chicago,Dollars,$,complete,2,31.0,,
15667,,,,,,,,,,1900-09-19T00:00:00Z,Oriente Hotel,,,complete,2,24.0,,
15668,,,,,,,,,,1900-10-09T00:00:00Z,Toyo Kisen Kaisha Hing Kong Maru,,,complete,2,24.0,,
15669,,,,,,,,,,1900-10-09T00:00:00Z,Toyo Kisen Kaisha Hong Kong Maru,,,complete,2,35.0,,
15670,,,,,,,,,,1900-10-09T00:00:00Z,Friends Of H.Anthony Dyer,,,complete,4,23.0,,
15671,,,,,,,,,,1900-10-09T00:00:00Z,Nipppon Yusen Kaisha S.S. Kobe Maru,,,complete,2,16.0,,
15672,,,,,,,,,,1900-10-09T00:00:00Z,Nippon Yusen Kaisha S.S.Kasuga,,,complete,2,14.0,,
15673,,,,,,,,,,1900-10-09T00:00:00Z,Nippon Yusen Kaisha S.S. Kasuga,,,complete,2,18.0,,
15674,,,,,,,,,,1900-10-10T00:00:00Z,Grand Hotel,,,complete,4,19.0,,
15675,,,,,,,,,,1900-10-10T00:00:00Z,Nippon Yusen Kaisha S.S.Kobe Maru,,,complete,2,19.0,,
15676,,,,,,,,,,1900-10-10T00:00:00Z,Nippon Yusen Kaisha S.S.Kobe Maru,,,complete,2,16.0,,
15677,,,,,,,,,,1900-10-10T00:00:00Z,Toyo Kisen Kaisha Hong Kong Maru,,,complete,2,24.0,,
15678,,,,,,,,,,1900-10-10T00:00:00Z,Toyo Kisen Kaisha Hong Kong Maru,,,complete,2,36.0,,
15679,,,,,,,,,,1900-10-26T00:00:00Z,Imperial Yacht Club Of St. Petersburg,,,complete,2,8.0,,
15680,,,,,,,,,,1900-10-27T00:00:00Z,National Association Of Democratic Clubs,,,complete,8,27.0,,
15681,,,,,,,,,,1900-10-27T00:00:00Z,Consuls Of Melbourne,,,complete,4,8.0,,
15682,,,,,,,,,,1900-09-01T00:00:00Z,Candian Pacific Railway Co. S.S.Manitoba,,,complete,2,25.0,,
15683,,,,,,,,,,1900-09-01T00:00:00Z,Brown Palace Hotel,,,complete,2,80.0,,
15684,,,,,,,,,,1900-09-01T00:00:00Z,Brown Palace Hotel,Dollars,$,complete,2,122.0,,
15685,,,,,,,,,,1900-09-01T00:00:00Z,Brown Palace Hotel,Dollars,$,complete,4,200.0,,
15686,,,,,,,,,,1900-09-01T00:00:00Z,Essex Hotel,Dollars,$,complete,2,329.0,,
15687,,,,,,,,,,1900-09-01T00:00:00Z,Aerated Bread Company,,,complete,2,66.0,,
15688,,,,,,,,,,1900-09-01T00:00:00Z,Elmer Woodbury Hotel & Restaurant Company,Dollars,$,complete,12,291.0,,
15689,,,,,,,,,,1900-09-01T00:00:00Z,Victorian Restaurant,,,complete,2,36.0,,
15691,,,,,,,,,,1900-09-01T00:00:00Z,Weingrosshandlung,Deutsche Marks,DM,complete,2,9.0,,
15692,,,,,,,,,,1900-09-01T00:00:00Z,?,Deutsche Marks,DM,complete,2,27.0,,
15693,,,,,,,,,,1900-09-01T00:00:00Z,W.Zahn & Sohn,,,complete,2,10.0,,
15694,,,,,,,,,,1900-09-01T00:00:00Z,Haake Freres,,,complete,4,9.0,,
15695,,,,,,,,,,1900-09-01T00:00:00Z,Gd Restaurant Vazelle,,,complete,2,43.0,,
15696,,,,,,,,,,1900-09-01T00:00:00Z,Restaurant Gardes,Francs,FF,complete,2,16.0,,
15697,,,,,,,,,,1900-09-01T00:00:00Z,Gd Restaurant Senselme,Francs,FF,complete,2,20.0,,
15698,,,,,,,,,,1900-09-01T00:00:00Z,Maison Enel,Francs,FF,complete,2,16.0,,
15699,,,,,,,,,,1900-09-01T00:00:00Z,Boston & Bangor Ssteamship Company,,,complete,2,26.0,,
15700,,,,,,,,,,1900-11-29T00:00:00Z,Willard's Hotel,,,complete,4,40.0,,
15701,,,,,,,,,,1900-11-29T00:00:00Z,Stanton House,,,complete,4,41.0,,
15704,,,,,,,,,,1900-11-29T00:00:00Z,Stanton House,,,complete,4,41.0,,
15705,,,,,,,,,,1900-11-29T00:00:00Z,Pacific Mail S.S. Co.,,,complete,4,29.0,,
15706,,,,,,,,,,1900-11-29T00:00:00Z,Bay State House,,,complete,2,18.0,,
15707,,,,,,,,,,1900-11-29T00:00:00Z,St. Charles Hotel,,,complete,7,31.0,,
15708,,,,,,,,,,1900-11-29T00:00:00Z,Chicago Beach Hotel,,,complete,4,37.0,,
15709,,,,,,,,,,1900-11-29T00:00:00Z,Norfolk House,,,complete,4,35.0,,
15710,,,,,,,,,,1900-11-29T00:00:00Z,Baltimore & Ohio R.R.,Dollars,$,complete,16,57.0,,
15711,,,,,,,,,,1900-11-29T00:00:00Z,Royal Blue Line,,,complete,2,29.0,,
15712,,,,,,,,,,1900-11-29T00:00:00Z,Park Avenue Hotel,,,complete,2,54.0,,
15713,,,,,,,,,,1900-11-29T00:00:00Z,Hotel Savoy,,,complete,2,72.0,,
15715,,,,,,,,,,1900-01-01T00:00:00Z,Canadian Pacific Railway Company,,,complete,2,17.0,,
15716,,,,,,,,,,1900-09-21T00:00:00Z,National Wholesale Druggists Association/proprietary Association Of America,,,complete,4,43.0,,
15718,,,,,,,,,,1900-09-22T00:00:00Z,U.S.M.S.,Dollars,$,complete,2,103.0,,
15719,,,,,,,,,,1900-09-22T00:00:00Z,U.S.M.S.,Dollars,$,complete,2,94.0,,
15720,,,,,,,,,,1900-09-22T00:00:00Z,Grand Hotel De Madrid,,,complete,2,8.0,,
15721,,,,,,,,,,1900-09-22T00:00:00Z,Nippon Yusen Kaisha,,,complete,2,20.0,,
15722,,,,,,,,,,1901-05-09T00:00:00Z,National Board Of Fire Underwriters,,,complete,6,25.0,,
15723,,,,,,,,,,1901-05-09T00:00:00Z,U.S.M.S St. Paul,,,complete,2,21.0,,
15724,,,,,,,,,,1901-05-09T00:00:00Z,Hamilton Club,,,under review,4,16.0,,
15725,,,,,,,,,,1901-05-10T00:00:00Z,Alfred J. Miller,,,complete,4,15.0,,
15726,,,,,,,,,,1901-05-10T00:00:00Z,Oceanic Steamship Company,,,complete,2,35.0,,
15727,,,,,,,,,,1901-05-10T00:00:00Z,Cornell University,,,complete,8,17.0,,
15728,,,,,,,,,,1901-05-10T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,28.0,,
15729,,,,,,,,,,1901-05-25T00:00:00Z,United States Government,,,complete,2,26.0,,
15730,,,,,,,,,,1901-05-25T00:00:00Z,Oceanic Steamship Co.,,,complete,2,27.0,,
15731,,,,,,,,,,1901-05-25T00:00:00Z,Oceanic Steamship Co.,,,complete,2,25.0,,
15732,,,,,,,,,,1901-05-25T00:00:00Z,Roger Williams Lodge No. 23 A.F. & A.M.,,,complete,4,16.0,,
15733,,,,,,,,,,1901-05-21T00:00:00Z,U.S.M.S.St. Paul,,,complete,2,27.0,,
15734,,,,,,,,,,1900-11-29T00:00:00Z,Toyo Kisen Kaisha,,,complete,3,45.0,,
15736,,,,,,,,,,1900-11-30T00:00:00Z,New York Club,,,complete,4,16.0,,
15737,,,,,,,,,,1900-11-30T00:00:00Z,Round Table Club,,,complete,2,22.0,,
15738,,,,,,,,,,1900-12-01T00:00:00Z,Le Commissaire Royal Et Les Membrs De La Commission Executive Du Portugal A L Exposition Universelle De 1900,,,complete,4,15.0,,
15740,,,,,,,,,,1900-12-04T00:00:00Z,New State House,,,complete,4,19.0,,
15741,,,,,,,,,,1900-12-05T00:00:00Z,New State House,,,complete,2,42.0,,
15743,,,,,,,,,,1900-12-06T00:00:00Z,Albany Zouave Cadets Old Guard,,,complete,2,27.0,,
15744,,,,,,,,,,1900-12-06T00:00:00Z,Saint Nicholas Society,,,complete,2,20.0,,
15745,,,,,,,,,,1900-12-07T00:00:00Z,New York Alumni Of The Worcester Polytechnic Institute,,,complete,4,22.0,,
15747,,,,,,,,,,1900-12-08T00:00:00Z,Friends Of Dwight Kinney,,,complete,2,12.0,,
15748,,,,,,,,,,1900-12-08T00:00:00Z,New York Press Club,,,complete,2,17.0,,
15749,,,,,,,,,,1900-12-10T00:00:00Z,United States Navy,,,complete,2,9.0,,
15750,,,,,,,,,,1900-10-10T00:00:00Z,Keystone Poultry Pigeon And Pet Stock Association Of Philadelphia,,,complete,8,21.0,,
15752,,,,,,,,,,1900-12-01T00:00:00Z,Congress Hall,,,complete,2,50.0,,
15753,,,,,,,,,,1900-12-01T00:00:00Z,Congress Hall,,,complete,2,55.0,,
15754,,,,,,,,,,1900-12-11T00:00:00Z,Shepheard's Hotel,,,complete,2,15.0,,
15755,,,,,,,,,,1900-12-11T00:00:00Z,Imperial Yacht Club Of St.Petersburg,,,complete,2,7.0,,
15756,,,,,,,,,,1901-04-27T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,13.0,,
15757,,,,,,,,,,1901-04-27T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,4,42.0,,
15758,,,,,,,,,,1901-04-27T00:00:00Z,Middlesex Club,,,complete,6,23.0,,
15759,,,,,,,,,,1901-04-27T00:00:00Z,George W. Smith,,,complete,4,23.0,,
15760,,,,,,,,,,1901-01-01T00:00:00Z,Haan's,Dollars,$,complete,4,140.0,,
15761,,,,,,,,,,1901-04-27T00:00:00Z,Curry & Burlingame,Dollars,$,complete,2,30.0,,
15762,,,,,,,,,,1901-04-27T00:00:00Z,Hotel Hungaria,Dollars,$,complete,2,152.0,,
15763,,,,,,,,,,1901-04-27T00:00:00Z,Union Square Hotel,Dollars,$,complete,2,131.0,,
15764,,,,,,,,,,1901-04-27T00:00:00Z,Union Square Hotel,Dollars,$,complete,4,246.0,,
15765,,,,,,,,,,1901-04-27T00:00:00Z,Cafe St. Denis,Dollars,$,complete,2,112.0,,
15766,,,,,,,,,,1901-04-27T00:00:00Z,Cafe St. Denis,Dollars,$,complete,4,744.0,,
15767,,,,,,,,,,1901-04-27T00:00:00Z,David Cafe And Restaurant,Dollars,$,complete,4,266.0,,
15768,,,,,,,,,,1901-04-27T00:00:00Z,David Lunch Counter,Dollars,$,complete,2,74.0,,
15769,,,,,,,,,,1901-04-27T00:00:00Z,Hotel Margaret,,,complete,2,33.0,,
15770,,,,,,,,,,1901-05-10T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,18.0,,
15771,,,,,,,,,,1901-05-10T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,74.0,,
15772,,,,,,,,,,1901-05-10T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,68.0,,
15773,,,,,,,,,,1901-05-10T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,4,27.0,,
15774,,,,,,,,,,1901-05-10T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,10.0,,
15775,,,,,,,,,,1901-05-11T00:00:00Z,Oceanic Steamship Company,,,complete,2,35.0,,
15776,,,,,,,,,,1901-05-11T00:00:00Z,Oceanic Steamship Company,,,complete,2,27.0,,
15777,,,,,,,,,,1901-05-11T00:00:00Z,Pullman Dining Car Service,,,complete,2,28.0,,
15778,,,,,,,,,,1901-05-11T00:00:00Z,Oceanic Steamship Company,,,complete,2,36.0,,
15779,,,,,,,,,,1901-05-11T00:00:00Z,Nordeutscher Lloyd Bremen,,,complete,2,16.0,,
15780,,,,,,,,,,1901-05-11T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,32.0,,
15781,,,,,,,,,,1901-05-11T00:00:00Z,Nordeutscher Lloyd Bremen,,,complete,2,72.0,,
15782,,,,,,,,,,1901-05-11T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,67.0,,
15783,,,,,,,,,,1901-05-11T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,4,24.0,,
15784,,,,,,,,,,1901-05-11T00:00:00Z,Norddeutscher Lloyd Bremen,,,complete,2,11.0,,
15785,,,,,,,,,,1901-05-01T00:00:00Z,U.S.Government,,,complete,2,30.0,,
